"id","label","parent","obsolete"
"classification","Classification","","0"
"tagging","Tagging","","0"
"prediction","Prediction","","0"
"face","Face Detection","tagging","0"
"logo","Logo Detection","tagging","0"
"landmark","Landmark Detection","tagging","0"
"localizer","Object Localizer","tagging","0"
"celebrity","Celebrity Detection","tagging","0"
"imageLabels","Object Detection in images","classification","0"
"sentiment","Sentiment Analysis","classification","0"
"keyphrase","Keyphrase Extraction","classification","0"
"custom","Custom Model Classification","classification","0"
"custommodel","Prediction using a Custom Model","prediction","0"
"imageText","Text Detection in Images","tagging","0"
"transcribe","Video transcription","tagging","0"
"imageProperties","Image Properties","tagging","0"
"imageCropHints","Image Crop Hints","tagging","0"